,State,Year,Month,Monthly Temp (F),Monthly Avg Temp (F)
0,Alabama,2020,1,49.225,44.46875
1,Alabama,2021,1,46.137499999999996,44.46875
2,Alabama,2020,2,50.4875,48.62375
3,Alabama,2021,2,46.15,48.62375
4,Alabama,2020,3,62.8875,55.85875
5,Alabama,2021,3,59.075,55.85875
6,Alabama,2020,4,61.55,63.096875
7,Alabama,2021,4,61.2375,63.096875
8,Alabama,2020,5,68.5625,71.00687500000001
9,Alabama,2021,5,69.075,71.00687500000001
10,Alabama,2020,6,76.675,77.8
11,Alabama,2021,6,76.6,77.8
12,Alabama,2020,7,80.7375,80.11
13,Alabama,2021,7,79.0375,80.11
14,Alabama,2020,8,80.025,79.74125000000001
15,Alabama,2021,8,79.7375,79.74125000000001
16,Alabama,2020,9,74.0875,74.955
17,Alabama,2021,9,73.5875,74.955
18,Alabama,2020,10,66.55,64.39500000000001
19,Alabama,2021,10,67.05,64.39500000000001
20,Alabama,2020,11,58.025,53.720000000000006
21,Alabama,2020,12,45.5,47.368125
22,Arizona,2020,1,46.300000000000004,46.012142857142855
23,Arizona,2021,1,45.41428571428571,46.012142857142855
24,Arizona,2020,2,48.24285714285714,48.49714285714286
25,Arizona,2021,2,49.042857142857144,48.49714285714286
26,Arizona,2020,3,52.699999999999996,54.86571428571428
27,Arizona,2021,3,51.728571428571435,54.86571428571428
28,Arizona,2020,4,61.4,61.072857142857146
29,Arizona,2021,4,63.542857142857144,61.072857142857146
30,Arizona,2020,5,72.62857142857142,69.00999999999999
31,Arizona,2021,5,70.05714285714286,69.00999999999999
32,Arizona,2020,6,78.61428571428571,79.325
33,Arizona,2021,6,82.67142857142858,79.325
34,Arizona,2020,7,84.98571428571428,83.47642857142857
35,Arizona,2021,7,83.25714285714285,83.47642857142857
36,Arizona,2020,8,86.15714285714286,81.525
37,Arizona,2021,8,81.35714285714286,81.525
38,Arizona,2020,9,78.12857142857142,76.04
39,Arizona,2021,9,76.94285714285715,76.04
40,Arizona,2020,10,68.75714285714285,64.82428571428571
41,Arizona,2021,10,62.271428571428565,64.82428571428571
42,Arizona,2020,11,55.885714285714286,53.745000000000005
43,Arizona,2020,12,44.885714285714286,45.09
44,Arkansas,2020,1,43.888888888888886,40.230555555555554
45,Arkansas,2021,1,41.32222222222222,40.230555555555554
46,Arkansas,2020,2,44.37777777777777,43.735
47,Arkansas,2021,2,34.733333333333334,43.735
48,Arkansas,2020,3,56.45555555555555,52.37777777777778
49,Arkansas,2021,3,55.144444444444446,52.37777777777778
50,Arkansas,2020,4,58.75555555555555,61.373888888888885
51,Arkansas,2021,4,58.32222222222222,61.373888888888885
52,Arkansas,2020,5,66.71111111111111,69.36777777777777
53,Arkansas,2021,5,66.71111111111111,69.36777777777777
54,Arkansas,2020,6,76.28888888888889,77.25277777777778
55,Arkansas,2021,6,76.75555555555555,77.25277777777778
56,Arkansas,2020,7,81.21111111111111,80.31055555555555
57,Arkansas,2021,7,79.26666666666667,80.31055555555555
58,Arkansas,2020,8,77.73333333333333,80.02166666666666
59,Arkansas,2021,8,80.61111111111111,80.02166666666666
60,Arkansas,2020,9,71.77777777777777,73.50944444444445
61,Arkansas,2021,9,74.12222222222222,73.50944444444445
62,Arkansas,2020,10,59.44444444444444,61.973333333333336
63,Arkansas,2021,10,65.46666666666667,61.973333333333336
64,Arkansas,2020,11,54.03333333333333,51.165000000000006
65,Arkansas,2020,12,42.644444444444446,42.41888888888889
66,California,2020,1,44.4,43.995000000000005
67,California,2021,1,44.542857142857144,43.995000000000005
68,California,2020,2,47.84285714285714,45.232142857142854
69,California,2021,2,45.84285714285714,45.232142857142854
70,California,2020,3,46.457142857142856,49.37285714285714
71,California,2021,3,46.57142857142857,49.37285714285714
72,California,2020,4,54.628571428571426,53.115
73,California,2021,4,55.800000000000004,53.115
74,California,2020,5,61.92857142857143,60.04642857142857
75,California,2021,5,61.75714285714286,60.04642857142857
76,California,2020,6,67.48571428571428,67.74571428571429
77,California,2021,6,71.77142857142857,67.74571428571429
78,California,2020,7,73.38571428571429,73.70428571428572
