Year,Month,State,Age Group,COVID-19 Deaths,Total COVID Deaths,Death Proportion
2020,1,Alabama,0-17 years,0.0,0.0,0.0
2020,1,Alabama,18-29 years,0.0,0.0,0.0
2020,1,Alabama,30-39 years,0.0,0.0,0.0
2020,1,Alabama,40-49 years,0.0,0.0,0.0
2020,1,Alabama,50-64 years,0.0,0.0,0.0
2020,1,Alabama,65-74 years,0.0,0.0,0.0
2020,1,Alabama,75-84 years,0.0,0.0,0.0
2020,1,Alabama,85 years and over,0.0,0.0,0.0
2020,1,Arizona,0-17 years,0.0,0.0,0.0
2020,1,Arizona,18-29 years,0.0,0.0,0.0
2020,1,Arizona,30-39 years,0.0,0.0,0.0
2020,1,Arizona,40-49 years,0.0,0.0,0.0
2020,1,Arizona,50-64 years,0.0,0.0,0.0
2020,1,Arizona,65-74 years,0.0,0.0,0.0
2020,1,Arizona,75-84 years,0.0,0.0,0.0
2020,1,Arizona,85 years and over,0.0,0.0,0.0
2020,1,Arkansas,0-17 years,0.0,0.0,0.0
2020,1,Arkansas,18-29 years,0.0,0.0,0.0
2020,1,Arkansas,30-39 years,0.0,0.0,0.0
2020,1,Arkansas,40-49 years,0.0,0.0,0.0
2020,1,Arkansas,50-64 years,0.0,0.0,0.0
2020,1,Arkansas,65-74 years,0.0,0.0,0.0
2020,1,Arkansas,75-84 years,0.0,0.0,0.0
2020,1,Arkansas,85 years and over,0.0,0.0,0.0
2020,1,California,0-17 years,0.0,0.0,0.0
2020,1,California,18-29 years,0.0,0.0,0.0
2020,1,California,30-39 years,0.0,0.0,0.0
2020,1,California,40-49 years,0.0,0.0,0.0
2020,1,California,50-64 years,0.0,0.0,0.0
2020,1,California,65-74 years,0.0,0.0,0.0
2020,1,California,75-84 years,0.0,0.0,0.0
2020,1,California,85 years and over,0.0,0.0,0.0
2020,1,Colorado,0-17 years,0.0,0.0,0.0
2020,1,Colorado,18-29 years,0.0,0.0,0.0
2020,1,Colorado,30-39 years,0.0,0.0,0.0
2020,1,Colorado,40-49 years,0.0,0.0,0.0
2020,1,Colorado,50-64 years,0.0,0.0,0.0
