,State,Month,Monthly Avg Temp (F)
0,Alabama,1,44.46875
1,Alabama,2,48.62375
2,Alabama,3,55.85875
3,Alabama,4,63.096875
4,Alabama,5,71.00687500000001
5,Alabama,6,77.8
6,Alabama,7,80.11
7,Alabama,8,79.74125000000001
8,Alabama,9,74.955
9,Alabama,10,64.39500000000001
10,Alabama,11,53.720000000000006
11,Alabama,12,47.368125
12,Arizona,1,46.012142857142855
13,Arizona,2,48.49714285714286
14,Arizona,3,54.86571428571428
15,Arizona,4,61.072857142857146
16,Arizona,5,69.00999999999999
17,Arizona,6,79.325
18,Arizona,7,83.47642857142857
19,Arizona,8,81.525
20,Arizona,9,76.04
21,Arizona,10,64.82428571428571
22,Arizona,11,53.745000000000005
23,Arizona,12,45.09
24,Arkansas,1,40.230555555555554
25,Arkansas,2,43.735
26,Arkansas,3,52.37777777777778
27,Arkansas,4,61.373888888888885
28,Arkansas,5,69.36777777777777
29,Arkansas,6,77.25277777777778
30,Arkansas,7,80.31055555555555
31,Arkansas,8,80.02166666666666
32,Arkansas,9,73.50944444444445
33,Arkansas,10,61.973333333333336
34,Arkansas,11,51.165000000000006
35,Arkansas,12,42.41888888888889
36,California,1,43.995000000000005
37,California,2,45.232142857142854
38,California,3,49.37285714285714
39,California,4,53.115
40,California,5,60.04642857142857
41,California,6,67.74571428571429
42,California,7,73.70428571428572
43,California,8,72.67928571428571
44,California,9,68.02714285714285
45,California,10,58.90642857142857
46,California,11,49.63785714285714
47,California,12,43.107142857142854
48,Colorado,1,26.424
49,Colorado,2,28.43
50,Colorado,3,37.278
51,Colorado,4,44.43
52,Colorado,5,52.993
53,Colorado,6,63.678999999999995
54,Colorado,7,69.23899999999999
55,Colorado,8,66.52600000000001
56,Colorado,9,59.416000000000004
57,Colorado,10,47.018
58,Colorado,11,35.747
59,Colorado,12,26.233
60,Connecticut,1,26.78666666666667
61,Connecticut,2,29.148333333333333
62,Connecticut,3,36.76833333333333
63,Connecticut,4,47.975
64,Connecticut,5,58.169999999999995
65,Connecticut,6,66.64166666666667
66,Connecticut,7,72.30666666666666
67,Connecticut,8,70.82166666666667
68,Connecticut,9,64.04833333333333
69,Connecticut,10,52.655
70,Connecticut,11,42.044999999999995
71,Connecticut,12,32.63666666666667
72,Delaware,1,34.0075
73,Delaware,2,36.3925
74,Delaware,3,43.9925
75,Delaware,4,54.52
76,Delaware,5,64.0675
77,Delaware,6,72.83500000000001
78,Delaware,7,77.295
79,Delaware,8,75.80499999999999
80,Delaware,9,69.405
81,Delaware,10,58.2375
82,Delaware,11,47.3
83,Delaware,12,39.1175
84,Florida,1,60.43785714285714
85,Florida,2,63.754285714285714
86,Florida,3,67.43285714285715
87,Florida,4,72.01071428571429
88,Florida,5,77.27428571428571
