,Date,State,Total Pop,Day_of_Wk,Confirmed,Confirmed_diff,Confirmed_rate,Confirmed_rate_diff,Deaths,Deaths_diff,Deaths_rate,Deaths_rate_diff,Recovered,Recovered_rate,Recovered_diff,Recovered_rate_diff,Active,Active_diff,Active_rate_diff,Active_rate,Case_Fatality_Ratio,Administered,Series_Complete_Yes,Month,Year,Monthly Temp (F),Monthly Avg Temp (F)
0,2020-04-12,Alabama,4903185,Sunday,3667,,0.000747881224143,,93,,1.8967263115709484e-05,,,,,,3470.0,,,0.0007077032581883,2.610159978,0.0,0.0,4,2020,61.55,63.096875
1,2020-04-13,Alabama,4903185,Monday,3870,203.0,0.0007892828844924,4.140166034934437e-05,99,6.0,2.0190957510271383e-05,1.2236943945618992e-06,,,,,3635.0,165.0,3.3651595850452305e-05,0.0007413548540387,2.6513122656668453,0.0,0.0,4,2020,61.55,63.096875
2,2020-04-14,Alabama,4903185,Tuesday,4041,171.0,0.0008241581747374,3.487529024501419e-05,114,15.0,2.325019349667614e-05,3.059235986404757e-06,,,,,3839.0,204.0,4.160560941510476e-05,0.0007829604634538,2.883885656,0.0,0.0,4,2020,61.55,63.096875
3,2020-04-15,Alabama,4903185,Wednesday,4307,266.0,0.0008784086262296,5.425045149224435e-05,118,4.0,2.406598975971741e-05,8.157962630412695e-07,,,,,3957.0,118.0,2.4065989759717416e-05,0.0008070264532135,2.895705521472393,0.0,0.0,4,2020,61.55,63.096875
4,2020-04-16,Alabama,4903185,Thursday,4465,158.0,0.0009106325786198,3.222395239013004e-05,133,15.0,2.712522574612216e-05,3.059235986404753e-06,,,,,4212.0,255.0,5.200701176888076e-05,0.0008590334649824,3.0609896432681243,0.0,0.0,4,2020,61.55,63.096875
5,2020-04-17,Alabama,4903185,Friday,4557,92.0,0.0009293958926697,1.8763314049949223e-05,148,15.0,3.018446173252692e-05,3.059235986404757e-06,,,,,4423.0,211.0,4.303325287542692e-05,0.0009020667178578,3.237803544082258,0.0,0.0,4,2020,61.55,63.096875
6,2020-04-18,Alabama,4903185,Saturday,4788,231.0,0.0009765081268603,4.711223419063323e-05,153,5.0,3.120420706132851e-05,1.0197453288015878e-06,,,,,4559.0,136.0,2.773707294340317e-05,0.0009298037908012,3.247028862478777,0.0,0.0,4,2020,61.55,63.096875
7,2020-04-19,Alabama,4903185,Sunday,4978,190.0,0.0010152584493548,3.875032249446011e-05,157,4.0,3.202000332436977e-05,8.157962630412662e-07,,,,,4731.0,172.0,3.5079239310774465e-05,0.000964883030112,3.211947626841244,0.0,0.0,4,2020,61.55,63.096875
8,2020-04-20,Alabama,4903185,Monday,5163,185.0,0.0010529890265205,3.773057716565872e-05,163,6.0,3.324369771893168e-05,1.2236943945619026e-06,,,,,4916.0,185.0,3.7730577165658616e-05,0.0010026136072777,3.2092931679464463,0.0,0.0,4,2020,61.55,63.096875
9,2020-04-21,Alabama,4903185,Tuesday,5404,241.0,0.0011021407513687,4.915172484823644e-05,183,20.0,3.732267903413801e-05,4.0789813152063376e-06,,,,,5134.0,218.0,4.446089633574919e-05,0.0010470745036134,3.4417904833552755,0.0,0.0,4,2020,61.55,63.096875
10,2020-04-22,Alabama,4903185,Wednesday,5692,288.0,0.0011608780823077,5.873733093897122e-05,196,13.0,3.9974016889022137e-05,2.6513378548841235e-06,,,,,5397.0,263.0,5.363860429496341e-05,0.0011007131079084,3.504380475594493,0.0,0.0,4,2020,61.55,63.096875
11,2020-04-23,Alabama,4903185,Thursday,5899,207.0,0.0012030955389201,4.22174566123857e-05,202,6.0,4.119771128358404e-05,1.2236943945619026e-06,,,,,5630.0,233.0,4.752013232215378e-05,0.0011482332402305,3.4636488340192044,0.0,0.0,4,2020,61.55,63.096875
12,2020-04-24,Alabama,4903185,Friday,6092,193.0,0.0012424577086118,3.936216969174116e-05,209,7.0,4.262535474390626e-05,1.4276434603222209e-06,,,,,5817.0,187.0,3.813847529717928e-05,0.0011863717155277,3.4683040159309657,0.0,0.0,4,2020,61.55,63.096875
13,2020-04-25,Alabama,4903185,Saturday,6274,182.0,0.0012795764385802,3.711872996837768e-05,209,0.0,4.262535474390626e-05,0.0,,,,,5817.0,0.0,0.0,0.0011863717155277,3.4683040159309657,0.0,0.0,4,2020,61.55,63.096875
14,2020-04-26,Alabama,4903185,Sunday,6475,201.0,0.001320570200798,4.0993762217823816e-05,219,10.0,4.466484540150943e-05,2.0394906576031688e-06,,,,,6202.0,385.0,7.852039031772205e-05,0.0012648921058454,3.4106836941286405,0.0,0.0,4,2020,61.55,63.096875
15,2020-04-27,Alabama,4903185,Monday,6621,146.0,0.001350346764399,2.9776563601006164e-05,228,9.0,4.650038699335228e-05,1.8355415918428503e-06,,,,,6311.0,109.0,2.2230448167874596e-05,0.0012871225540133,3.4867716776265483,0.0,0.0,4,2020,61.55,63.096875
16,2020-04-28,Alabama,4903185,Tuesday,6820,199.0,0.0013909326284853,4.058586408630326e-05,242,14.0,4.935567391399672e-05,2.8552869206444417e-06,,,,,6508.0,197.0,4.017796595478249e-05,0.0013273005199681,3.585185185185185,0.0,0.0,4,2020,61.55,63.096875
17,2020-04-29,Alabama,4903185,Wednesday,6979,159.0,0.0014233605299412,3.2427901455890206e-05,256,14.0,5.221096083464116e-05,2.855286920644435e-06,,,,,6656.0,148.0,3.0184461732526936e-05,0.0013574849817006,3.703703703703704,0.0,0.0,4,2020,61.55,63.096875
18,2020-04-30,Alabama,4903185,Thursday,7187,208.0,0.0014657819356193,4.2421405678145976e-05,272,16.0,5.547414588680623e-05,3.2631850521650714e-06,0.0,0.0,,,6816.0,160.0,3.26318505216507e-05,0.0013901168322223,3.8374717832957113,0.0,0.0,4,2020,61.55,63.096875
19,2020-05-01,Alabama,4903185,Friday,7440,253.0,0.0015173810492567,5.15991136373602e-05,289,17.0,5.894128000473162e-05,3.4671341179253896e-06,0.0,0.0,0.0,0.0,7005.0,189.0,3.854637342869984e-05,0.001428663205651,3.962160680010968,0.0,0.0,5,2020,68.5625,71.00687500000001
20,2020-05-02,Alabama,4903185,Saturday,7700,260.0,0.0015704078063544,5.302675709768258e-05,288,-1.0,5.87373309389713e-05,-2.0394906576031826e-07,0.0,0.0,0.0,0.0,7323.0,318.0,6.485580291178085e-05,0.0014935190085628,3.7839968466692944,0.0,0.0,5,2020,68.5625,71.00687500000001
21,2020-05-03,Alabama,4903185,Sunday,7977,277.0,0.00162690169757,5.649389121560773e-05,290,2.0,5.9145229070491935e-05,4.078981315206365e-07,0.0,0.0,0.0,0.0,7598.0,275.0,5.6085993084087175e-05,0.0015496050016468,3.676470588235294,0.0,0.0,5,2020,68.5625,71.00687500000001
22,2020-05-04,Alabama,4903185,Monday,8203,226.0,0.0016729941864318,4.609248886183162e-05,298,8.0,6.077682159657448e-05,1.631592526082539e-06,0.0,0.0,0.0,0.0,7814.0,216.0,4.405299820422841e-05,0.0015936579998511,3.673570019723866,0.0,0.0,5,2020,68.5625,71.00687500000001
23,2020-05-05,Alabama,4903185,Tuesday,8520,317.0,0.0017376460402779,6.465185384602057e-05,315,17.0,6.424395571449986e-05,3.4671341179253896e-06,,,,,8122.0,308.0,6.281631225417764e-05,0.0016564743121052,3.733554581012208,0.0,0.0,5,2020,68.5625,71.00687500000001
24,2020-05-06,Alabama,4903185,Wednesday,8769,249.0,0.0017884293576522,5.078331737431888e-05,343,28.0,6.995452955578873e-05,5.71057384128887e-06,,,,,8348.0,226.0,4.609248886183162e-05,0.0017025668009671,3.9466114371188574,0.0,0.0,5,2020,68.5625,71.00687500000001
25,2020-05-07,Alabama,4903185,Thursday,9115,346.0,0.0018589957344052,7.05663767530697e-05,369,26.0,7.525720526555698e-05,5.302675709768247e-06,,,,,8677.0,329.0,6.709924263514433e-05,0.0017696660436022,4.079151005969489,0.0,0.0,5,2020,68.5625,71.00687500000001
26,2020-05-08,Alabama,4903185,Friday,9437,322.0,0.0019246673335801,6.567159917482217e-05,383,14.0,7.811249218620142e-05,2.8552869206444417e-06,,,,,9002.0,325.0,6.6283446372103e-05,0.0018359494899743,4.080980287693127,0.0,0.0,5,2020,68.5625,71.00687500000001
27,2020-05-09,Alabama,4903185,Saturday,9720,283.0,0.0019823849191902,5.771758561016961e-05,390,7.0,7.954013564652364e-05,1.427643460322214e-06,,,,,9278.0,276.0,5.628994214984767e-05,0.0018922394321242,4.033926354985519,0.0,0.0,5,2020,68.5625,71.00687500000001
28,2020-05-10,Alabama,4903185,Sunday,9982,262.0,0.0020358195744194,5.343465522920313e-05,393,3.0,8.015198284380459e-05,6.118471972809547e-07,,,,,9496.0,218.0,4.446089633574897e-05,0.0019367003284599,3.974112650419658,0.0,0.0,5,2020,68.5625,71.00687500000001
29,2020-05-11,Alabama,4903185,Monday,10262,280.0,0.0020929253128323,5.710573841288856e-05,403,10.0,8.219147350140776e-05,2.0394906576031688e-06,,,,,9761.0,265.0,5.404650242648418e-05,0.0019907468308864,3.964974419519874,0.0,0.0,5,2020,68.5625,71.00687500000001
30,2020-05-12,Alabama,4903185,Tuesday,10566,304.0,0.0021549258288235,6.200051599113653e-05,435,32.0,8.87178436057379e-05,6.526370104330143e-06,,,,,10029.0,268.0,5.46583496237648e-05,0.0020454051805102,4.157110091743119,0.0,0.0,5,2020,68.5625,71.00687500000001
31,2020-05-13,Alabama,4903185,Wednesday,10822,256.0,0.0022071367896581,5.221096083464104e-05,450,15.0,9.177707959214266e-05,3.05923598640476e-06,,,,,10250.0,221.0,4.507274353303002e-05,0.0020904779240432,4.205607476635514,0.0,0.0,5,2020,68.5625,71.00687500000001
32,2020-05-14,Alabama,4903185,Thursday,11161,339.0,0.0022762755229508,6.913873329274754e-05,473,23.0,9.646790810462996e-05,4.690828512487292e-06,,,,,10628.0,378.0,7.70927468574001e-05,0.0021675706709006,4.260877398432574,0.0,0.0,5,2020,68.5625,71.00687500000001
33,2020-05-15,Alabama,4903185,Friday,11494,333.0,0.002344190561849,6.791503889818544e-05,483,10.0,9.850739876223312e-05,2.0394906576031688e-06,,,,,10890.0,262.0,5.34346552292027e-05,0.0022210053261298,4.246900553943551,0.0,0.0,5,2020,68.5625,71.00687500000001
34,2020-05-16,Alabama,4903185,Saturday,11828,334.0,0.002412309549813,6.811898796394615e-05,485,2.0,9.891529689375376e-05,4.078981315206365e-07,,,,,11189.0,299.0,6.098077066233514e-05,0.0022819860967921,4.154531437382217,0.0,0.0,5,2020,68.5625,71.00687500000001
35,2020-05-17,Alabama,4903185,Sunday,12137,309.0,0.0024753298111329,6.302026131993791e-05,488,3.0,9.95271440910347e-05,6.118471972809411e-07,,,,,11283.0,94.0,1.917121218146956e-05,0.0023011573089736,4.145782006626455,0.0,0.0,5,2020,68.5625,71.00687500000001
36,2020-05-18,Alabama,4903185,Monday,12438,301.0,0.0025367184799268,6.138866879385526e-05,489,1.0,9.973109315679502e-05,2.0394906576031826e-07,,,,,11597.0,314.0,6.404000664873974e-05,0.0023651973156223,4.046003640575873,0.0,0.0,5,2020,68.5625,71.00687500000001
37,2020-05-19,Alabama,4903185,Tuesday,12825,387.0,0.002615646768376,7.89282884492426e-05,504,15.0,0.0001027903291431,3.05923598640476e-06,,,,,11872.0,275.0,5.6085993084087175e-05,0.0024212833087064,4.072398190045249,0.0,0.0,5,2020,68.5625,71.00687500000001
38,2020-05-20,Alabama,4903185,Wednesday,13186,361.0,0.0026892723811155,7.362561273947452e-05,522,18.0,0.0001064614123268,3.671083183685701e-06,,,,,12530.0,658.0,0.0001341984852702,0.0025554817939767,3.999387067116151,0.0,0.0,5,2020,68.5625,71.00687500000001
39,2020-05-21,Alabama,4903185,Thursday,13590,404.0,0.0027716678036827,8.239542256716819e-05,529,7.0,0.0001078890557872,1.4276434603222276e-06,,,,,12759.0,229.0,4.670433605911224e-05,0.0026021861300358,3.98103552077062,0.0,0.0,5,2020,68.5625,71.00687500000001
40,2020-05-22,Alabama,4903185,Friday,13954,364.0,0.0028459052636194,7.423745993675535e-05,541,12.0,0.0001103364445763,2.447388789123792e-06,7951.0,0.0016215990218602,,,5178.0,-7581.0,-0.0015461378675289,0.0010560482625069,3.9575713240673007,0.0,0.0,5,2020,68.5625,71.00687500000001
41,2020-05-23,Alabama,4903185,Saturday,14328,374.0,0.0029221822142138,7.627695059435856e-05,549,8.0,0.0001119680371024,1.631592526082546e-06,7951.0,0.0016215990218602,0.0,0.0,5617.0,439.0,8.95336398687792e-05,0.0011455819023757,3.88892824254445,0.0,0.0,5,2020,68.5625,71.00687500000001
42,2020-05-24,Alabama,4903185,Sunday,14676,348.0,0.0029931564890984,7.097427488459047e-05,551,2.0,0.0001123759352339,4.078981315206365e-07,7951.0,0.0016215990218602,0.0,0.0,5976.0,359.0,7.321771460795374e-05,0.0012187996169836,3.8057742782152233,0.0,0.0,5,2020,68.5625,71.00687500000001
43,2020-05-25,Alabama,4903185,Monday,15309,633.0,0.0031222562477246,0.0001290997586262,566,15.0,0.0001154351712203,3.0592359864047464e-06,7951.0,0.0016215990218602,0.0,0.0,6469.0,493.0,0.0001005468894198,0.0013193465064034,3.7768584011744295,0.0,0.0,5,2020,68.5625,71.00687500000001
44,2020-05-26,Alabama,4903185,Tuesday,15899,590.0,0.0032425861965232,0.0001203299487985,580,14.0,0.0001182904581409,2.8552869206444417e-06,7951.0,0.0016215990218602,0.0,0.0,7119.0,650.0,0.0001325668927442,0.0014519133991476,3.706070287539936,0.0,0.0,5,2020,68.5625,71.00687500000001
45,2020-05-27,Alabama,4903185,Wednesday,16263,364.0,0.00331682365646,7.423745993675535e-05,583,3.0,0.0001189023053382,6.118471972809547e-07,7951.0,0.0016215990218602,0.0,0.0,7498.0,379.0,7.729669592316016e-05,0.0015292100950708,3.636477045908184,0.0,0.0,5,2020,68.5625,71.00687500000001
46,2020-05-28,Alabama,4903185,Thursday,16749,486.0,0.0034159429024195,9.911924595951398e-05,591,8.0,0.0001205338978643,1.6315925260825323e-06,9355.0,0.0019079435101877,1404.0,0.0002863444883274,6584.0,-914.0,-0.0001864094461049,0.0013428006489659,3.5753176043557167,0.0,0.0,5,2020,68.5625,71.00687500000001
