,Date,Location,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_18Plus,Series_Complete_65Plus
0,2021-11-18,Wisconsin,7894520,7841780,7389860,2431771,3440272,3440016,3230556,940658
1,2021-11-18,Maine,2138582,2123392,2005383,695187,964009,963965,908548,274302
2,2021-11-18,Tennessee,7940729,7916920,7531012,2412611,3355930,3355609,3184450,928581
5,2021-11-18,District of Columbia,1132019,1127444,1084669,219742,449491,449429,430040,76083
6,2021-11-18,South Carolina,6020753,5993515,5681965,1970994,2621180,2618297,2474631,785941
8,2021-11-18,Oklahoma,4737575,4718863,4438914,1351673,2019331,2019247,1893060,527739
9,2021-11-18,Arizona,9274451,9237819,8626666,2794979,3939188,3938728,3669962,1066634
12,2021-11-18,Iowa,4039408,4011726,3780982,1283462,1776160,1776117,1668349,500425
14,2021-11-18,Rhode Island,1673123,1659330,1555265,456975,761791,761723,711095,180463
15,2021-11-18,Georgia,12027136,11984749,11262692,3089421,5216907,5216201,4901878,1219242
16,2021-11-18,Utah,3935788,3917467,3561808,820813,1762378,1761934,1599841,322343
17,2021-11-18,Idaho,1825208,0,1823885,608725,800023,0,798255,242847
18,2021-11-18,Nebraska,2500435,2481956,2320361,719654,1102134,1102029,1026197,279770
19,2021-11-18,North Dakota,866939,860985,817912,256726,368413,368035,348810,97974
21,2021-11-18,New Hampshire,2050185,2041578,1912977,590666,867827,867587,817103,229199
22,2021-11-18,Virginia,12588508,12452098,11588507,3069197,5481307,5468957,5069244,1202283
27,2021-11-18,Pennsylvania,18846817,18742216,17686984,5811034,7918276,7916520,7463242,2208051
28,2021-11-18,Connecticut,5766727,5726291,5322941,1553323,2550060,2549478,2364103,591712
29,2021-11-18,Indiana,7555848,7527377,7099670,2291389,3388095,3387594,3191883,923100
30,2021-11-18,New Mexico,3014699,2998608,2795353,838802,1321668,1321533,1222269,337621
31,2021-11-18,Texas,36079806,36039688,33188500,7784343,15718599,15716209,14477317,3084308
32,2021-11-18,Wyoming,613828,611797,581405,200023,260997,260983,247462,79920
33,2021-11-18,Montana,1282428,1276680,1210269,433156,549955,549895,519966,171511
34,2021-11-18,Maryland,9046525,9043190,8387718,2192415,4042361,4042119,3737329,875774
36,2021-11-18,Delaware,1386194,1381089,1296749,444185,593241,593180,556824,171879
